구분,도로명주소,지번주소,위도,경도,전화번호,홈페이지,등록기준일
세종특별자치시청,세종특별자치시 한누리대로 2130,세종특별자치시 보람동 663,36.48005799,127.2890394,044-300-3114,http://www.sejong.go.kr/,2022-11-07
세종특별자치시의회,세종특별자치시 한누리대로 2120,세종특별자치시 보람동 625-6,36.48002104,127.290451,044-300-7000,http://council.sejong.go.kr/index.do,2022-11-07
보건소,세종특별자치시 조치원읍 건강길 16,세종특별자치시 조치원읍 교리 129-1,36.60567621,127.296515,044-301-2000,http://www.sejong.go.kr/health.do,2022-11-07
농업기술센터,세종특별자치시 연서면 월하천로 289,세종특별자치시 연서면 쌍전리 16,36.57299943,127.2831882,044-301-2500,http://www.sejong.go.kr/adtc.do,2022-11-07
시설관리사업소,세종특별자치시 전동면 심동로 354,세종특별자치시 전동면 심중리 82,36.67085946,127.3002898,044-301-3500,http://www.sejong.go.kr/facility.do,2022-11-07
조치원읍사무소,세종특별자치시 조치원읍 새내16길 17,세종특별자치시 조치원읍 교리 9-1,36.60454817,127.2984603,044-301-5000,http://www.sejong.go.kr/dong.do,2022-11-07
연기면사무소,세종특별자치시 연기면 당산로 81,세종특별자치시 연기면 한별리 317-34,36.54182726,127.2735307,044-301-5200,http://www.sejong.go.kr/dong.do,2022-11-07
연동면사무소,세종특별자치시 연동면 내송길 20,세종특별자치시 연동면 내판리 9-2,36.55920996,127.3266913,044-301-5300,http://www.sejong.go.kr/dong.do,2022-11-07
부강면사무소,세종특별자치시 부강면 부강5길 38,세종특별자치시 부강면 부강리 138,36.52942609,127.3707531,044-301-5400,http://www.sejong.go.kr/dong.do,2022-11-07
금남면사무소,세종특별자치시 금남면 용포로 57,세종특별자치시 금남면 용포리 122-1,36.46373697,127.2802868,044-301-5500,http://www.sejong.go.kr/dong.do,2022-11-07
장군면사무소,세종특별자치시 장군면 장척로 400-1,세종특별자치시 장군면 도계리 167,36.4966736,127.2056188,044-301-5600,http://www.sejong.go.kr/dong.do,2022-11-07
연서면사무소,세종특별자치시 연서면 대첩로 238,세종특별자치시 연서면 성제리 293,36.59256876,127.2715221,044-301-5700,http://www.sejong.go.kr/dong.do,2022-11-07
전의면사무소,세종특별자치시 전의면 운주산로 1204-7,세종특별자치시 전의면 읍내리 207-3,36.68004984,127.2030498,044-301-5800,http://www.sejong.go.kr/dong.do,2022-11-07
전동면사무소,세종특별자치시 전동면 운주산로 386,세종특별자치시 전동면 노장리 583,36.6560525,127.2637277,044-301-5900,http://www.sejong.go.kr/dong.do,2022-11-07
소정면사무소,세종특별자치시 소정면 소정구길 204,세종특별자치시 소정면 소정리 48,36.72230936,127.1585982,044-301-6000,http://www.sejong.go.kr/dong.do,2022-11-07
한솔동주민센터,세종특별자치시 노을3로 85,세종특별자치시 한솔동 964,36.47917404,127.2546671,044-301-6100,http://www.sejong.go.kr/dong.do,2022-11-07
도담동주민센터,세종특별자치시 보람로 77,세종특별자치시 도담동 645,36.51540546,127.2617462,044-301-6200,http://www.sejong.go.kr/dong.do,2022-11-07
아름동주민센터,세종특별자치시 보듬3로 114,세종특별자치시 아름동 1286,36.5123515,127.2468897,044-301-6300,http://www.sejong.go.kr/dong.do,2022-11-07
종촌동주민센터,세종특별자치시 도움3로 125,세종특별자치시 종촌동 677,36.5046345,127.2468694,044-301-6400,http://www.sejong.go.kr/dong.do,2022-11-07
고운동주민센터,세종특별자치시 마음로 284,세종특별자치시 고운동 1382,36.51972434,127.2365898,044-301-6600,http://www.sejong.go.kr/dong.do,2022-11-07
보람동주민센터,세종특별자치시 호려울로 42,세종특별자치시 보람동 630-4,36.47877461,127.2906141,044-301-6700,http://www.sejong.go.kr/dong.do,2022-11-07
새롬동주민센터,세종특별자치시 새롬로 14,세종특별자치시 새롬동 66-1,36.48607004,127.2566965,044-301-6800,http://www.sejong.go.kr/dong.do,2022-11-07
다정동주민센터,세종특별자치시 다정남3로 10,세종특별자치시 다정동 363-185,36.49452387,127.2503429,044-301-7100,http://www.sejong.go.kr/dong.do,2022-11-07
대평동주민센터,세종특별자치시 대평동 90-1,세종특별자치시 대평동 92-1,36.47096106,127.2792,044-301-6900,http://www.sejong.go.kr/dong.do,2022-11-07
세종경찰서,세종특별자치시 조치원읍 군청로 36,세종특별자치시 조치원읍 번암리 66-16,36.58822907,127.294874,044-860-0324,http://www.cnpolice.go.kr/SEO/SJ/,2022-11-07
세종특별자치시교육청,세종특별자치시 한누리대로 2154,세종특별자치시 보람동 664-17,36.478089,127.2863692,044-320-1000,http://www.sje.go.kr/sje,2022-11-07
세종우체국,세종특별자치시 시청대로 180,세종특별자치시 보람동 624-6,36.48054875,127.2918559,044-410-1004,http://www.koreapost.go.kr/cc/339/,2022-11-07
세종특별자치시 선거관리위원회,세종특별자치시 조치원읍 대첩로 59,세종특별자치시 조치원읍 신흥리 269-2,36.59479268,127.2898533,044-866-1390,http://sj.nec.go.kr/sj/,2022-11-07
대전지방법원 세종특별자치시법원,세종특별자치시 조치원읍 새내16길 27,세종특별자치시 조치원읍 교리 8-11,36.60451148,127.2991832,044-867-4500,http://daejeon.scourt.go.kr/main/new/Main.work,2022-11-07
대전지방법원 세종특별자치시등기소,세종특별자치시 조치원읍 새내16길 27,세종특별자치시 조치원읍 교리 8-11,36.60451148,127.2991832,044-867-0999,http://daejeon.scourt.go.kr/main/new/Main.work,2022-11-07
대전지방노동청 공주고용센터세종출장소,세종특별자치시 조치원읍 조치원로 22,세종특별자치시 조치원읍 원리 6-4,36.60118699,127.2991507,044-865-3219,http://www.moel.go.kr/local/daejeon/index.jsp,2022-11-07
공주세무서 세종민원봉사실,세종특별자치시 조치원읍 충현로 195,세종특별자치시 조치원읍 침산리 256-5,36.60589696,127.2938701,044-866-8571,http://d.nts.go.kr/gj/Default.asp,2022-11-07
조치원역,세종특별자치시 조치원읍 으뜸길 215,세종특별자치시 조치원읍 원리 141-62,36.6035059,127.2963339,1588-7788,http://www.letskorail.com/,2022-11-07
세종세무서,세종특별자치시 가름로 232,세종특별자치시 어진동 657,36.49562724,127.2649076,044-850-8200,https://d.nts.go.kr/menu/intro/intro.asp?tax_code=320,2022-11-07
