종류,시설명,소재지 주소,전화번호,데이터기준일
노인요양시설,전의요셉의 집,전의면 삼성당1길 52-32,044-862-8268,2022-11-04
노인요양시설,사랑의마을,연서면 효교동길 123-2,044-867-2080,2022-11-04
노인요양시설,성요셉치매센터,전의면 삼성당1길 52-30,044-868-5001,2022-11-04
노인요양시설,평안의집,연동면 새말다복동길 65,044-865-0905,2022-11-04
노인요양시설,송정노인 복지센터,전동면 금이로 441-6,044-862-0123,2022-11-04
노인요양시설,세종우리요양원,연서면 두루봉길 7-14,044-867-1578,2022-11-04
노인요양시설,세종요양원,조치원읍 충현로 3,044-862-4008,2022-11-04
노인요양시설,세종행복요양원,전동면 운주산로 316,044-862-3955,2022-11-04
노인요양 공동생활가정,사랑의마을노인 요양공동생활가정,연서면 효교동길 123-2,044-868-2009,2022-11-04
복지용구,삼성의료기,조치원읍 새내로 85,044-862-3688,2022-11-04
복지용구,태양의료기,조치원읍 으뜸길 204,044-868-1031,2022-11-04
"방문요양,방문목욕,복지용구",행복노인복지센터,전동면 운주산로 316,044-862-3955,2022-11-04
"방문요양,방문목욕, 방문간호",세종방문간호요양센터,조치원읍 문화3길 3,044-867-1374,2022-11-04
"방문요양,방문목욕",이웃사랑복지센터,조치원읍 조치원9길 29,044-868-8572,2022-11-04
"방문요양,방문목욕",한울타리 재가방문요양기관,"조치원읍 행복7길 5-7, 203호(뜨란채빌B)",044-868-0999,2022-11-04
"방문요양,방문목욕",사랑나눔노인복지센터,조치원읍 으뜸길 76,044-868-8949,2022-11-04
"방문요양,방문목욕",샬롬노인복지센터,조치원읍 새주막2길 7,044-864-1303,2022-11-04
"방문요양,방문목욕",한가족노인복지센터,금남면 영대1길 23-20,044-868-2266,2022-11-04
"방문요양,주야간보호",세종주야간보호센터,조치원읍 충현로 3,044-868-9035,2022-11-04
"방문요양,방문목욕",뉴시티좋은이웃들,조치원읍 돌마루길 13,044-867-1828,2022-11-04
"방문요양,방문목욕",우리노인복지센터,"도담동 보듬3로 7, 15호(도담동, 도램마을8단지상가동)",044-867-8780,2022-11-04
방문요양,잘돌봐드림 노인복지센터,"조치원읍 새내12길31,1층",044-863-2212,2022-11-04
"방문요양,방문목욕",(주)휴먼에듀피아,조치원읍 새내8길 22-13,044-868-3651,2022-11-04
복지용구,365 행복케어,조치원읍 충현로 90,044-864-0365,2022-11-04
방문요양,효사랑 재가노인복지센터,조치원읍 새내6길 35,044-862-7722,2022-11-04
"방문요양,방문목욕",세종사랑복지센터,"금남면 대평시장1길 12, 5동",044-864-0052,2022-11-04
"방문요양,방문목욕",참빛노인복지센터,전의면 운주길 227,044-867-1990,2022-11-04
"주야간보호, 단기보호",세종재가노인지원센터,조치원읍 장안길 97-7,044-868-6004,2022-11-04
"방문요양,방문목욕",세종도덕노인복지센터,연서면 양대길 52,044-866-9054,2022-11-04
"방문요양, 방문목욕",무지개재가장기요양기관,조치원읍 조치원로 6(지하 1층),044-866-2625,2022-11-04
방문요양,재가복지센터 유다원,금남면 용포로 118,044-865-3318,2022-11-04
주간보호,종촌종합복지센터 노인주간보호센터,"종촌동 도움1로 116, 3(종촌동)",044-850-3060,2022-11-04
방문요양,행복요양센터,연기면 수왕로 305-69,044-862-3432,2022-11-04
방문요양,참사랑노인복지센터,"조치원읍 충현로 27, 2층",044-867-5603,2022-11-04
방문요양,조약돌요양복지센터,"장군면 장척로 408, 2층",044-868-3538,2022-11-04
"방문요양, 복지용구",래하임시니어복지센터,"금남면 용포1길 7, 1층",044-866-0680,2022-11-04
