보건기관,이름,소재지,전화번호,진료과목,데이터기준일
보건소,세종특별자치시 보건소,세종특별자치시 조치원읍 건강길 16,044-301-2000,일반+한방+치과,2023-06-09
보건지소,남부통합보건지소,세종특별자치시 새롬동 새롬로 14,044-301-2400,일반,2023-06-09
보건지소,연동면보건지소,세종특별자치시 연동면 내송길 20,044-301-2223,일반+치과,2023-06-09
보건지소,연서면보건지소,세종특별자치시 연서면 대첩로 238,044-301-2262,일반+한방,2023-06-09
보건지소,연기면보건지소,세종특별자치시 연기면 당산로 81,044-301-2213,일반+치과,2023-06-09
보건지소,금남면보건지소,세종특별자치시 금남면 용포로 57,044-301-2243,일반+한방,2023-06-09
보건지소,전의면보건지소,세종특별자치시 전의면 만세길 20-12,044-301-2273,일반,2023-06-09
보건지소,전동면보건지소,세종특별자치시 전동면 운주산로 386,044-301-2282,일반+한방,2023-06-09
보건지소,소정면보건지소,세종특별자치시 소정면 소정구길 204,044-301-2292,일반,2023-06-09
보건지소,장군면보건지소,세종특별자치시 장군면 장기초교길 11-1,044-301-2252,일반+한방,2023-06-09
보건지소,부강면보건지소,세종특별자치시 부강면 부강5실 38,044-301-2232,일반,2023-06-09
보건진료소,응암보건진료소,세종특별자치시 연동면 송암로 246,044-864-9202,일반,2023-06-09
보건진료소,와촌보건진료소,세종특별자치시 연서면 용연로 635,044-863-4700,일반,2023-06-09
보건진료소,쌍류보건진료소,세종특별자치시 연서면 도신고복로 427,044-863-0176,일반,2023-06-09
보건진료소,황용보건진료소,세종특별자치시 금남면 금병로 563,044-867-8865,일반,2023-06-09
보건진료소,양곡보건진료소,세종특별자치시 전의면 양지편길 17,044-867-3471,일반,2023-06-09
보건진료소,송곡보건진료소,세종특별자치시 전동면 금이로 184,044-867-1665,일반,2023-06-09
보건진료소,송학보건진료소,세종특별자치시 장군면 황미창말길 5-4,044-852-0564,일반,2023-06-09
